A	A
A quarter turn left	A quarter turn left
A quarter turn right	A quarter turn right
A run of items out of a list	A run of items out of a list
A to Z / smallest first	A to Z / smallest first
Above	Above
Account	Account
Act on Notification	Act on Notification
Action	Action
Activate	Activate
Activates a lighting scene you set up in the Hue app, or turns its room off — Philips Hue	Activates a lighting scene you set up in the Hue app, or turns its room off — Philips Hue
Active	Active
Active from	Active from
Active until (earlier than \'from\' runs past midnight)	Active until (earlier than \'from\' runs past midnight)
Add Calendar Event	Add Calendar Event
Add to List	Add to List
Add to the end instead of replacing	Add to the end instead of replacing
Adjusts an audio stream\'s volume (up, down, set, mute or unmute)	Adjusts an audio stream\'s volume (up, down, set, mute or unmute)
Airplane Mode Changed	Airplane Mode Changed
Airplane mode	Airplane mode
Alarm	Alarm
Alarms	Alarms
All	All
All day	All day
Also fire on messages the broker had stored	Also fire on messages the broker had stored
Also when the device starts moving	Also when the device starts moving
Always (high battery use)	Always (high battery use)
Amber	Amber
Ambient Light	Ambient Light
Ambient light	Ambient light
Answer	Answer
Answer type	Answer type
Answers whether a file exists, how big it is and when it changed	Answers whether a file exists, how big it is and when it changed
Any	Any
Anything	Anything
App	App
App (optional)	App (optional)
App Initialised	App Initialised
App Installed / Removed	App Installed / Removed
Appends an item to a named list, usually from inside a loop	Appends an item to a named list, usually from inside a loop
Applies to	Applies to
Appointment	Appointment
Artist	Artist
Ask AI	Ask AI
Ask AI About a Picture	Ask AI About a Picture
Ask Yes or No	Ask Yes or No
Ask for Input	Ask for Input
Ask the broker to keep this message	Ask the broker to keep this message
Ask to Choose	Ask to Choose
Asks the user a yes/no question in a popup dialog and branches on the answer	Asks the user a yes/no question in a popup dialog and branches on the answer
Asks the user to type a value in a popup dialog and puts it on a port	Asks the user to type a value in a popup dialog and puts it on a port
At	At
At a time of day	At a time of day
Attribute (optional)	Attribute (optional)
Auto	Auto
Auto brightness	Auto brightness
Automatic	Automatic
Away for (minutes)	Away for (minutes)
B	B
Back camera	Back camera
Battery Level	Battery Level
Battery level	Battery level
Bcc	Bcc
Begins recording sound from the microphone and carries on, until Stop Recording or the time limit ends it	Begins recording sound from the microphone and carries on, until Stop Recording or the time limit ends it
Below	Below
Between two times	Between two times
Blue	Blue
Bluetooth Device Connected	Bluetooth Device Connected
Bluetooth State Change	Bluetooth State Change
Bluetooth enabled	Bluetooth enabled
Body	Body
Boolean	Boolean
Both	Both
Break Struct	Break Struct
Brightness %	Brightness %
Broker	Broker
Build text	Build text
Busy	Busy
Button	Button
Button label	Button label
Buttons — one per line	Buttons — one per line
C	C
Calendar	Calendar
