A	A
A run of items out of a list	リスト内の連続した一部の要素
A to Z / smallest first	A→Z / 小さい順
Above	上回る
Account	アカウント
Act on Notification	通知を操作
Action	アクション
Activate	有効化
Activates a lighting scene you set up in the Hue app, or turns its room off — Philips Hue	Hue アプリで設定した照明シーンを呼び出す、またはその部屋を消灯します — Philips Hue
Active	有効
Active from	有効開始
Active until (earlier than \'from\' runs past midnight)	有効終了（「開始」より前だと日をまたぎます）
Add to List	リストに追加
Adjusts an audio stream\'s volume (up, down, set, mute or unmute)	オーディオストリームの音量を調整します（上げる、下げる、設定、ミュート、ミュート解除）
Airplane Mode Changed	機内モードの変更
Airplane mode	機内モード
Alarm	アラーム
Alarms	アラーム
All	すべて
Also when only its details change	詳細だけが変わったときも
Also when the device starts moving	端末が動き始めたときも
Always (high battery use)	常時（電池消費が大きい）
Ambient Light	環境光
Ambient light	環境光
Answer	回答
Answer type	回答の種類
Any	任意
Anything	任意
App	アプリ
App (optional)	アプリ（任意）
App Initialised	アプリの初期化完了
App Installed / Removed	アプリのインストール / 削除
Appends an item to a named list, usually from inside a loop	指定したリストに要素を追加します。通常はループの中で使います
Ask AI	AI に質問
Ask Yes or No	はい／いいえで質問
Ask for Input	入力を求める
Ask to Choose	選択を求める
Asks the user a yes/no question in a popup dialog and branches on the answer	ダイアログではい／いいえの質問をし、回答によって分岐します
Asks the user to type a value in a popup dialog and puts it on a port	ダイアログで値を入力してもらい、それをポートに出力します
At	時刻
At a time of day	1 日のうちの時刻に
Attribute (optional)	属性（任意）
Auto	自動
Auto brightness	明るさの自動調整
Automatic	自動
Away for (minutes)	離れている時間（分）
B	B
Balanced	バランス
Battery Level	電池残量
Battery level	電池残量
Bcc	Bcc
Below	下回る
Bluetooth Device Connected	Bluetooth デバイスの接続
Bluetooth State Change	Bluetooth の状態変化
Bluetooth enabled	Bluetooth が有効
Body	本文
Boolean	はい／いいえ
Break Struct	構造体を分解
Brightness %	明るさ %
Build text	テキストを組み立てる
Button	ボタン
Button label	ボタンのラベル
C	C
Call Home Assistant Service	Home Assistant のサービスを呼び出す
Called by Another App	他のアプリから呼び出し
Calls a web API and exposes the typed response	Web API を呼び出し、型付きのレスポンスを出力します
Cancel button	キャンセルボタン
Carries on at once and continues again at a chosen moment	すぐに先へ進み、指定した時刻に再び続きを実行します
Carry on now	今すぐ続行
Cc	Cc
Change	変化
Changes from	変化前
Changes to	変化後
Charging	充電中
Charging started	充電開始
Charging stopped	充電停止
Check every (minutes, minimum 15)	確認間隔（分、最短 15）
Choice	選択
Clear	クリア
Clipboard	クリップボード
Clock Changed	時計の変更
Close automatically after (seconds)	自動的に閉じるまでの時間（秒）
Colour	色
Combines words and values into one piece of text	語句と値をつないで 1 つのテキストにします
Compare against	比較対象
Compare as	比較方法
Confirm button	確認ボタン
Connected	接続済み
Connection	接続
Contains	含む
Control Light	照明を操作
Control Scene	シーンを操作
Conversation ID	会話 ID
Convert	変換
Convert to	変換先
Count	件数
Count items	要素数を数える
Covered	遮られている
Current time	現在時刻
Custom	カスタム
Custom sound	カスタムサウンド
Dark Theme Change	ダークテーマの変更
Dark theme	ダークテーマ
Data contains	データに含まれる
Date &amp; time	日付と時刻
Date rolled over	日付が変わった
Date time	日時
Days	日
Days of month (e.g. 1,15, empty = every day)	月の日付（例: 1,15。空欄 = 毎日）
Delete	削除
Device Boot	端末の起動
Device Docked	端末をドックに装着
Device Movement	端末の動き
Device Orientation	端末の向き
Device Shutting Down	端末のシャットダウン
Device Unlocked	端末のロック解除
Device orientation	端末の向き
Direction	方向
Disable Macro	マクロを無効化
Disabled	無効
Disables another macro by id (persists the flag and disarms its triggers)	別のマクロを id で無効化します（状態を保存し、そのトリガーを解除します）
Disconnected	切断
Dismiss	消去
