# Japanese has one quantity category: "other". Declaring only that is correct —
# there is no singular/plural distinction to make.
selection_nodes_selected:other	%1$d 件のノードを選択中
selection_connections_selected:other	%1$d 件の接続を選択中
selection_nodes:other	ノード %1$d 件
selection_connections:other	接続 %1$d 件
problems_errors:other	エラー %1$d 件
problems_warnings:other	警告 %1$d 件
editor_node_count:other	ノード %1$d 件
widget_problem_count:other	問題 %1$d 件
plugins_provides_nodes:other	ノードを %1$d 件提供
api_macros_callable:other	現在 %1$d 件のマクロを外部から呼び出せます。
variables_shared_by_every_macro:other	%1$d 件がすべてのマクロで共有
