# Russian plurals: one / few / many / other — four forms where every other locale
# here needs one or two. CLDR categories for ru:
#   one   1, 21, 31…   (n%10==1 and n%100!=11)      узел    ошибка   макрос
#   few   2-4, 22-24…  (n%10 in 2..4, n%100 not 12..14)  узла  ошибки  макроса
#   many  0, 5-20, 25… (everything else, integers)  узлов   ошибок   макросов
#   other fractions ("1,5 узла") — takes the genitive singular, same as few.
selection_nodes:one	%1$d узел
selection_nodes:few	%1$d узла
selection_nodes:many	%1$d узлов
selection_nodes:other	%1$d узла
selection_connections:one	%1$d соединение
selection_connections:few	%1$d соединения
selection_connections:many	%1$d соединений
selection_connections:other	%1$d соединения
problems_errors:one	%1$d ошибка
problems_errors:few	%1$d ошибки
problems_errors:many	%1$d ошибок
problems_errors:other	%1$d ошибки
problems_warnings:one	%1$d предупреждение
problems_warnings:few	%1$d предупреждения
problems_warnings:many	%1$d предупреждений
problems_warnings:other	%1$d предупреждения
editor_node_count:one	%1$d узел
editor_node_count:few	%1$d узла
editor_node_count:many	%1$d узлов
editor_node_count:other	%1$d узла
widget_problem_count:one	%1$d проблема
widget_problem_count:few	%1$d проблемы
widget_problem_count:many	%1$d проблем
widget_problem_count:other	%1$d проблемы
plugins_provides_nodes:one	Предоставляет %1$d узел
plugins_provides_nodes:few	Предоставляет %1$d узла
plugins_provides_nodes:many	Предоставляет %1$d узлов
plugins_provides_nodes:other	Предоставляет %1$d узла
api_macros_callable:one	Сейчас извне можно вызвать %1$d макрос.
api_macros_callable:few	Сейчас извне можно вызвать %1$d макроса.
api_macros_callable:many	Сейчас извне можно вызвать %1$d макросов.
api_macros_callable:other	Сейчас извне можно вызвать %1$d макроса.
variables_shared_by_every_macro:one	%1$d общая для всех макросов
variables_shared_by_every_macro:few	%1$d общие для всех макросов
variables_shared_by_every_macro:many	%1$d общих для всех макросов
variables_shared_by_every_macro:other	%1$d общих для всех макросов
mqtt_topics_seen:one	%1$d тема
mqtt_topics_seen:few	%1$d темы
mqtt_topics_seen:many	%1$d тем
mqtt_topics_seen:other	%1$d темы
