# Simplified Chinese has one quantity category: "other". Declaring only that is
# correct, not a partial translation — there is no singular/plural distinction to make.
selection_nodes_selected:other	已选择 %1$d 个节点
selection_connections_selected:other	已选择 %1$d 条连接
selection_nodes:other	%1$d 个节点
selection_connections:other	%1$d 条连接
problems_errors:other	%1$d 个错误
problems_warnings:other	%1$d 个警告
editor_node_count:other	%1$d 个节点
widget_problem_count:other	%1$d 个问题
plugins_provides_nodes:other	提供 %1$d 个节点
api_macros_callable:other	目前有 %1$d 个宏可以从外部调用。
variables_shared_by_every_macro:other	%1$d 个由所有宏共享
mqtt_topics_seen:other	%1$d 个主题
